,time,amount
0,2012-08-06,-0.0
1,2012-08-07,17.5
2,2012-08-08,0.0
3,2012-08-30,-18.47
4,2012-08-31,-0.0
5,2012-09-06,-18.01
6,2012-09-07,17.942230448866265
7,2012-09-10,0.0
8,2012-09-11,18.88
9,2012-10-09,-19.215065284695115
10,2012-10-10,-0.0
11,2012-10-12,-18.67
12,2012-10-15,-18.9
13,2012-10-16,-18.96
14,2012-10-17,-19.52
15,2012-10-18,-19.5
16,2012-10-19,19.009913111776545
17,2012-10-22,-0.0
18,2012-10-23,-19.4
19,2012-10-24,19.334033846931042
20,2012-10-25,0.0
21,2012-12-07,-0.0
22,2012-12-11,-19.84
23,2012-12-12,-19.99
24,2012-12-13,-19.8
25,2012-12-17,-19.99
26,2012-12-18,-20.12
27,2012-12-19,-20.02
28,2012-12-20,-20.17
29,2012-12-21,19.910885623052362
30,2012-12-24,0.0
31,2012-12-26,-20.55
32,2012-12-27,0.0
33,2012-12-28,20.33
34,2012-12-31,20.42
35,2013-01-03,20.59
36,2013-01-08,20.52
37,2013-01-10,20.51
38,2013-01-15,20.5
39,2013-01-16,20.49
40,2013-04-09,-0.0
41,2013-04-10,-23.31
42,2013-04-11,23.094020556227324
43,2013-04-12,0.0
44,2013-04-15,-23.0
45,2013-04-16,-0.0
46,2013-04-17,-0.0
47,2013-04-30,-22.81
48,2013-05-03,22.794569301666073
49,2013-05-06,0.0
50,2013-06-12,-23.0
51,2013-06-13,-0.0
52,2013-06-18,-23.44
53,2013-07-03,23.392990135635017
54,2013-07-05,0.0
55,2013-07-16,23.62
56,2013-07-17,23.65
57,2013-07-24,-23.816589272411225
58,2013-07-25,0.0
59,2013-08-06,-23.64
60,2013-08-07,-0.0
61,2013-08-13,-22.94
62,2013-09-04,22.833826314071175
63,2013-09-05,0.0
64,2013-11-05,-0.0
65,2013-11-12,24.25
66,2013-11-13,0.0
67,2014-01-14,-0.0
68,2014-01-15,27.18
69,2014-01-16,0.0
70,2014-01-17,28.48
71,2014-01-24,27.85
72,2014-01-27,28.09
73,2014-02-03,28.17
74,2014-03-20,-0.0
75,2014-03-27,-29.45
76,2014-03-28,29.51440234375
77,2014-03-31,0.0
78,2014-04-07,-29.94
79,2014-04-08,-0.0
80,2014-04-09,-29.56
81,2014-04-16,29.23544372927638
82,2014-04-17,0.0
83,2014-04-22,30.0
84,2014-04-23,30.24
85,2014-04-24,30.31
86,2014-04-25,29.95
87,2014-04-28,-30.454668174109663
88,2014-04-29,0.0
89,2014-04-30,29.84
90,2014-05-06,-29.91640936686904
91,2014-05-07,-0.0
92,2014-05-12,-29.66
93,2014-05-13,29.686100401606424
94,2014-05-14,0.0
95,2014-05-15,-29.75
96,2014-05-16,-0.0
97,2014-05-19,-29.69
98,2014-05-20,-29.58
99,2014-05-21,29.557582128777923
100,2014-05-22,0.0
101,2014-06-04,30.41
102,2014-06-05,30.41
103,2014-06-10,30.36
104,2014-06-12,-30.412435174746335
105,2014-06-13,0.0
106,2014-06-16,30.29
107,2014-07-29,-30.307664071190214
108,2014-07-30,-0.0
109,2014-07-31,-0.0
110,2014-08-01,-29.68
111,2014-08-04,-29.87
112,2014-08-11,-29.71
113,2014-08-12,-29.95
114,2014-08-13,-30.24
115,2014-08-14,-29.95
116,2014-08-18,-30.5
117,2014-08-19,29.944161781391827
118,2014-08-20,0.0
119,2014-08-21,30.59
120,2014-08-22,30.6
121,2014-08-25,30.69
122,2014-08-26,30.6
123,2014-08-27,30.4
124,2014-08-28,30.32
125,2014-09-03,30.56
126,2014-09-04,30.29
127,2014-09-05,30.42
128,2014-09-08,-30.56881390593047
129,2014-09-09,-0.0
130,2014-10-29,0.0
131,2014-10-30,0.0
132,2014-10-31,32.48
133,2014-12-01,-32.53454636340915
134,2014-12-02,-0.0
135,2014-12-03,32.74
136,2014-12-04,0.0
137,2014-12-08,-33.4
138,2014-12-09,-0.0
139,2014-12-15,33.2
140,2014-12-16,-0.0
141,2014-12-17,33.08
142,2014-12-18,0.0
143,2014-12-19,33.52
144,2014-12-22,33.55
145,2015-01-05,-33.55875394321767
146,2015-01-06,-32.91842284325638
147,2015-01-07,-0.0
148,2015-01-08,-33.31
149,2015-03-03,0.0
150,2015-03-04,-32.23
151,2015-03-05,-0.0
152,2015-03-06,-31.54
153,2015-03-12,-31.61
154,2015-03-17,-31.74
155,2015-03-18,31.73152337281875
156,2015-03-19,0.0
157,2015-03-23,32.07
158,2015-03-25,31.94
159,2015-03-26,-32.0628173022197
160,2015-03-27,-0.0
161,2015-03-30,31.71
162,2015-03-31,0.0
163,2015-04-01,-31.91
164,2015-04-02,-0.0
165,2015-04-06,31.76
166,2015-04-07,0.0
167,2015-04-14,-31.83
168,2015-04-15,0.0
169,2015-04-16,-32.02
170,2015-04-17,-0.0
171,2015-04-20,31.76
172,2015-04-21,0.0
173,2015-04-23,31.99
174,2015-04-24,31.94
175,2015-04-29,-0.0
176,2015-04-30,-30.68
177,2015-05-01,-31.1
178,2015-05-04,-31.35
179,2015-05-06,-31.04
180,2015-05-07,-31.04
181,2015-05-08,-31.37
182,2015-05-11,-31.49
183,2015-05-12,-31.23
184,2015-05-13,-31.2
185,2015-05-14,-31.3
186,2015-05-15,31.194436580368784
187,2015-05-18,0.0
188,2015-05-19,-31.7
189,2015-05-20,-0.0
190,2015-05-21,31.27
191,2015-05-22,0.0
192,2015-05-26,-31.46
193,2015-05-27,-0.0
194,2015-05-28,-0.0
195,2015-05-29,-0.0
196,2015-06-03,-30.68
197,2015-06-11,-30.71
198,2015-08-12,0.0
199,2015-08-13,29.25
200,2015-08-20,-29.338690036900367
201,2015-08-21,-0.0
202,2015-08-26,-28.98
203,2015-08-27,28.878169577109194
204,2015-08-28,0.0
205,2015-08-31,-28.89
206,2015-09-01,-0.0
207,2015-09-02,-27.99
208,2015-09-03,-28.06
209,2015-09-08,-28.23
210,2015-09-09,-28.1
211,2015-09-10,-28.24
212,2015-09-11,-28.18
213,2015-09-15,-28.63
214,2015-09-16,28.187389237720794
215,2015-09-17,-0.0
216,2015-09-18,-0.0
217,2015-10-07,28.44263779527559
218,2015-10-08,0.0
219,2015-10-13,28.46
220,2015-10-14,28.35
221,2015-10-15,28.07
222,2015-10-16,27.76
223,2015-10-19,27.84
224,2015-10-20,28.08
225,2015-10-21,27.84
226,2015-10-27,28.08
227,2015-11-06,-28.163837488015343
228,2015-11-09,-0.0
229,2015-11-30,-27.96
230,2016-03-02,0.0
231,2016-05-24,-0.0
232,2016-05-25,-27.91
233,2016-05-26,-27.75
234,2016-05-27,-27.71
235,2016-05-31,27.71355454026271
236,2016-06-01,0.0
237,2016-06-03,28.41
238,2016-06-10,28.34
239,2016-06-13,28.11
240,2016-06-14,-28.314020284547116
241,2016-06-15,-0.0
242,2016-06-16,-27.45
243,2016-06-17,-27.76
244,2016-06-20,27.585413290113454
245,2016-06-21,-0.0
246,2016-06-23,28.05
247,2016-06-24,-0.0
248,2016-06-27,-0.0
249,2016-06-28,-27.41
250,2016-06-29,-28.01
251,2016-06-30,27.526726880031415
252,2016-07-01,0.0
253,2016-07-05,-28.36
254,2016-07-06,-0.0
255,2016-07-08,27.79
256,2016-07-11,0.0
257,2016-07-12,0.0
258,2016-07-13,28.71
259,2016-07-28,28.67
260,2016-08-01,-28.65650293772033
261,2016-08-02,-0.0
262,2016-08-03,-27.98
263,2016-08-04,-28.25
264,2016-08-05,-28.46
265,2016-08-08,-28.36
266,2016-08-10,-28.28
267,2016-08-11,-28.26
268,2016-08-15,-28.58
269,2016-10-03,0.0
270,2016-10-11,28.1
271,2016-10-12,28.16
272,2016-10-13,-28.163563783119848
273,2016-10-14,-0.0
274,2016-10-19,-27.73
275,2016-10-25,27.717092998955064
276,2016-10-26,0.0
277,2016-11-02,28.42
278,2016-11-03,28.42
279,2016-11-04,28.5
280,2016-11-16,31.23
281,2016-11-17,0.0
282,2016-11-18,0.0
283,2016-11-22,32.14
284,2017-01-11,-0.0
285,2017-01-13,-33.99
286,2017-01-20,33.89948003014318
287,2017-01-23,-0.0
288,2017-01-24,34.53
289,2017-01-25,0.0
290,2017-01-27,35.33
291,2017-01-30,34.86
292,2017-01-31,34.98
293,2017-02-01,35.04
294,2017-02-02,34.96
295,2017-03-13,-0.0
296,2017-03-15,-36.52
297,2017-03-16,-36.46
298,2017-03-17,-36.47
299,2017-04-24,36.38073846805724
300,2017-04-25,0.0
301,2017-05-17,-36.94
302,2017-05-18,-0.0
303,2017-05-19,37.05
304,2017-05-22,0.0
305,2017-06-07,-37.49
306,2017-06-08,-0.0
307,2017-06-09,-37.88
308,2017-06-13,-37.88
309,2017-06-19,-37.75
310,2017-06-28,37.74338525111253
311,2017-06-29,-0.0
312,2017-06-30,-37.51
313,2017-07-03,37.51050983651981
314,2017-07-05,-0.0
315,2017-07-07,37.65
316,2017-07-10,0.0
317,2017-07-11,38.65
318,2017-07-12,38.58
319,2017-07-13,38.42
320,2017-07-14,38.59
321,2017-07-17,38.3
322,2017-07-18,-38.6141278471712
323,2017-07-19,-0.0
324,2017-07-31,37.65
325,2017-08-01,0.0
326,2017-08-07,-37.71
327,2017-08-08,0.0
328,2017-08-09,38.01
329,2017-08-10,-38.0496
330,2017-08-11,-0.0
331,2017-08-14,-37.2
332,2017-09-27,0.0
333,2017-10-03,36.69
334,2017-10-05,36.81
335,2017-10-06,36.78
336,2017-11-28,-0.0
337,2017-11-29,-40.21
338,2017-11-30,-41.04
339,2017-12-01,-40.97
340,2017-12-04,-41.21
341,2017-12-05,-41.26
342,2017-12-06,-41.12
343,2017-12-07,-41.44
344,2017-12-08,40.93427596336617
345,2017-12-11,0.0
346,2017-12-12,41.4
347,2017-12-13,-41.743529411764705
348,2017-12-14,-0.0
349,2017-12-15,40.88
350,2017-12-18,0.0
351,2017-12-19,0.0
352,2018-02-05,-42.66
353,2018-02-09,-0.0
354,2018-02-14,-42.25
355,2018-04-12,0.0
356,2018-04-13,0.0
357,2018-04-16,0.0
358,2018-04-17,0.0
359,2018-04-20,41.4
360,2018-04-23,41.19
361,2018-04-24,-40.77159618304056
362,2018-04-25,-0.0
363,2018-04-26,-39.02
364,2018-04-27,-39.14
365,2018-05-01,39.093760646429345
366,2018-05-02,0.0
367,2018-06-14,-0.0
368,2018-06-15,-41.78
369,2018-06-18,-41.74
370,2018-06-20,-41.73
371,2018-06-22,-41.64
372,2018-07-13,41.65444957545061
373,2018-07-16,0.0
374,2018-10-16,-0.0
375,2018-10-17,-0.0
376,2018-10-18,-0.0
377,2018-10-22,-47.93
378,2018-11-26,0.0
379,2018-11-27,46.88
380,2018-11-29,-47.291507479861906
381,2018-11-30,0.0
382,2018-12-03,46.56
383,2018-12-04,-46.92845977887915
384,2018-12-06,-0.0
385,2019-01-08,45.53
386,2019-01-09,0.0
387,2019-01-18,48.91
388,2019-01-22,0.0
389,2019-01-23,47.81
390,2019-01-24,47.79
391,2019-01-25,48.39
392,2019-01-28,48.19
393,2019-02-07,47.77
394,2019-02-08,-48.11096594081519
395,2019-02-11,-0.0
396,2019-02-12,47.38
397,2019-02-13,0.0
398,2019-03-04,-48.51
399,2019-03-05,-0.0
400,2019-03-06,-0.0
401,2019-03-07,-46.31
402,2019-03-08,-46.35
403,2019-03-11,-46.61
404,2019-03-18,-46.39
405,2019-03-19,-46.54
406,2019-04-05,46.45944120221768
407,2019-04-08,0.0
408,2019-04-15,46.31
409,2019-04-25,-46.53125817622162
410,2019-04-26,0.0
411,2019-04-29,0.0
412,2019-04-30,46.86
413,2019-05-01,46.88
414,2019-05-02,46.76
415,2019-05-06,-46.956241539009625
416,2019-05-07,-0.0
417,2019-05-10,-45.9
418,2019-06-20,45.83543362831858
419,2019-06-21,0.0
420,2019-06-24,45.4
421,2019-07-09,45.17
422,2019-07-10,45.33
423,2019-08-02,-45.348507181539915
424,2019-08-05,-0.0
425,2019-08-08,-44.22
426,2019-08-30,44.14209567198178
427,2019-09-03,-0.0
428,2019-09-05,44.17
429,2019-09-06,0.0
430,2019-09-09,0.0
431,2019-09-12,46.64
432,2019-09-18,46.62
433,2019-09-19,46.45
434,2019-09-20,46.33
435,2019-09-24,45.78
436,2019-09-26,46.43
437,2019-10-01,-46.46462957023733
438,2019-10-02,-46.088981687701065
439,2019-10-03,-0.0
440,2019-10-04,-44.21
441,2019-10-11,-44.6
442,2019-10-14,-44.34
443,2019-10-15,-44.64
444,2019-10-17,-45.1
445,2019-10-18,-45.08
446,2019-10-21,44.63839033232628
447,2019-10-22,0.0
448,2019-10-23,46.07
449,2019-10-24,45.85
450,2019-10-31,-46.08347812971342
451,2019-11-01,-0.0
452,2019-11-04,-44.49
453,2019-11-05,44.55696144322604
454,2019-11-06,0.0
455,2019-11-07,0.0
456,2019-11-11,45.52
457,2019-11-12,-45.36822037805441
458,2019-11-13,-0.0
459,2019-11-14,45.31
460,2019-11-15,0.0
461,2019-11-18,45.87
462,2019-11-20,-45.986777289084365
463,2019-11-21,0.0
464,2020-01-24,-0.0
465,2020-01-27,-0.0
466,2020-01-28,-45.34
467,2020-01-30,-45.6
468,2020-02-05,-46.67
469,2020-04-21,0.0
470,2020-04-22,32.45
471,2020-06-25,-0.0
472,2020-06-26,-35.44
473,2020-06-29,-36.82
474,2020-06-30,-36.78
475,2020-07-02,-36.13
476,2020-07-06,-36.66
477,2020-07-15,36.270479730399444
478,2020-07-16,0.0
479,2020-07-17,36.95
480,2020-07-20,36.8
481,2020-08-06,-37.10174988952717
482,2020-08-07,0.0
483,2020-08-10,0.0
484,2020-08-11,0.0
485,2020-08-12,38.83
486,2020-08-13,37.87
487,2020-08-14,38.03
488,2020-08-17,-38.28077049180329
489,2020-08-18,-0.0
490,2020-09-01,-36.83
491,2020-09-02,36.87737986577181
492,2020-09-03,-0.0
493,2020-10-08,0.0
494,2020-10-09,40.77
495,2020-10-12,40.09
496,2020-10-13,39.41
497,2020-10-14,39.61
498,2020-10-20,39.45
499,2020-10-21,38.09
500,2020-10-22,38.77
501,2020-10-23,38.67
502,2020-10-26,37.93
503,2020-10-27,-39.46291511000415
504,2020-10-28,-0.0
505,2020-11-02,-36.73
506,2020-11-03,-37.78
507,2020-11-05,-37.95
508,2020-11-06,-37.87
509,2020-11-09,37.808974844468494
510,2020-11-10,0.0
511,2020-11-11,40.15
512,2020-11-12,39.78
513,2020-11-13,40.43
514,2020-11-17,40.11
515,2020-11-18,40.05
516,2020-11-20,39.74
517,2020-12-03,40.06
518,2021-01-19,-0.0
519,2021-01-21,41.88
520,2021-01-22,0.0
521,2021-01-28,43.59
522,2021-01-29,-44.28614763128902
523,2021-02-01,-0.0
524,2021-02-03,-42.34
525,2021-02-04,-42.67
526,2021-02-05,42.301660684374255
527,2021-02-08,0.0
528,2021-02-11,-0.0
529,2021-03-15,42.66
530,2021-03-16,0.0
531,2021-03-17,0.0
532,2021-03-22,41.4
533,2021-03-23,-41.984902339557856
534,2021-03-24,-0.0
535,2021-03-25,-40.35
536,2021-03-26,40.15571428571429
537,2021-03-29,-0.0
538,2021-03-30,40.26
539,2021-03-31,0.0
540,2021-06-02,-0.0
541,2021-06-03,-42.19
542,2021-06-04,-42.76
543,2021-08-04,-0.0
544,2021-08-11,39.65
545,2021-08-12,-0.0
546,2021-08-13,-0.0
547,2021-09-02,38.52
548,2021-09-03,-0.0
549,2021-09-07,-0.0
550,2021-09-08,-37.24
551,2021-11-16,0.0
552,2021-11-17,36.75
553,2021-11-18,36.31
554,2021-11-19,36.2
555,2021-11-29,36.06
556,2021-11-30,-36.48188918558077
557,2021-12-01,-0.0
558,2021-12-02,35.19
559,2021-12-03,0.0
560,2021-12-06,0.0
561,2021-12-07,36.79
562,2021-12-08,36.12
563,2021-12-09,-36.16900573613766
564,2021-12-10,-0.0
565,2021-12-13,-35.15
566,2021-12-14,-35.37
567,2021-12-28,-35.5
568,2021-12-29,-35.44
569,2021-12-30,35.28497337316535
570,2021-12-31,0.0
571,2022-01-13,39.28
572,2022-01-14,0.0
573,2022-01-19,40.95
574,2022-01-20,38.72
575,2022-01-21,38.8
576,2022-01-24,39.45
577,2022-01-25,38.84
578,2022-01-26,38.68
579,2022-01-27,38.66
580,2022-01-28,38.4
581,2022-01-31,-39.455099775652386
582,2022-02-01,0.0
583,2022-02-04,38.58
584,2022-02-07,-38.72448113207547
585,2022-02-08,0.0
586,2022-02-09,0.0
587,2022-02-10,39.17
588,2022-02-11,39.26
589,2022-02-24,-39.36165686798503
590,2022-02-25,0.0
591,2022-03-07,-39.18
592,2022-03-08,-0.0
593,2022-03-21,39.73
594,2022-03-22,0.0
595,2022-03-23,-39.92
596,2022-03-24,0.0
597,2022-03-31,-39.84
598,2022-04-01,-0.0
599,2022-04-04,-0.0
600,2022-05-03,38.54463485881207
601,2022-05-04,0.0
602,2022-05-05,38.7
603,2022-05-06,38.55
604,2022-05-09,38.69
605,2022-05-10,38.32
606,2022-05-11,38.13
607,2022-05-12,38.24
608,2022-05-13,37.98
609,2022-05-16,38.08
610,2022-05-19,38.07
611,2022-05-20,-38.54555369502121
612,2022-05-23,0.0
613,2022-05-24,-37.98
614,2022-05-25,0.0
615,2022-05-26,0.0
616,2022-05-27,0.0
617,2022-06-13,-39.19795077850326
618,2022-06-14,0.0
619,2022-06-16,-38.9485906374502
620,2022-06-17,-0.0
621,2022-06-21,-38.31
622,2022-06-27,-38.87
623,2022-06-28,-38.67
624,2022-07-20,38.59415274910865
625,2022-07-21,0.0
626,2022-07-22,39.03
627,2022-07-25,39.31
628,2022-08-04,-39.35898949070332
629,2022-08-05,-0.0
630,2022-08-10,-38.52
631,2022-08-11,-38.8
632,2022-08-12,-38.77
633,2022-08-15,38.588042157235094
634,2022-08-16,0.0
635,2022-08-18,0.0
636,2022-08-19,-38.88
637,2022-08-22,-0.0
638,2022-08-25,-38.38
639,2022-10-17,0.0
640,2022-10-18,0.0
641,2022-10-20,36.07
642,2022-12-19,-0.0
643,2022-12-20,-42.28
644,2022-12-21,-42.98
645,2023-01-10,42.309263657957246
646,2023-01-11,42.488904347826086
647,2023-01-12,0.0
648,2023-01-18,42.68
649,2023-01-19,-42.77103857566765
650,2023-01-20,-0.0
651,2023-01-24,0.0
652,2023-03-15,-43.51
653,2023-03-16,-0.0
654,2023-03-17,-0.0
655,2023-03-20,-42.69
656,2023-03-21,-43.97
657,2023-03-22,-43.18
658,2023-03-27,-43.47
659,2023-03-28,-44.31
660,2023-03-29,-44.59
661,2023-03-30,-44.57
662,2023-03-31,-45.24
663,2023-04-03,-45.28
664,2023-04-04,-44.6
665,2023-04-11,44.11664023423204
666,2023-04-12,0.0
667,2023-04-26,45.42
